,City,State,Song,lat,long
196,Los Angeles,California,Boys in L.A.,34.0536909,-118.242766
197,Los Angeles,California,Boys On Hollywood Blvd.,34.0536909,-118.242766
198,Los Angeles,California,Boyz-n-the-Hood,34.0536909,-118.242766
199,Los Angeles,California,Brad Logan,34.0536909,-118.242766
200,Los Angeles,California,BRB/Kiss,34.0536909,-118.242766
201,Los Angeles,California,Bring It On,34.0536909,-118.242766
202,Los Angeles,California,Broadway Boogie,34.0536909,-118.242766
203,Los Angeles,California,Broadway - Hollywood - Beverly Hills,34.0536909,-118.242766
204,Los Angeles,California,Broadway's Closer to Sunset Boulevard,34.0536909,-118.242766
205,Los Angeles,California,Broken Headlights,34.0536909,-118.242766
206,Los Angeles,California,Brooklyn To L.A.,34.0536909,-118.242766
207,Los Angeles,California,Brother L.A.,34.0536909,-118.242766
208,Los Angeles,California,Brother's Gonna Work It Out,34.0536909,-118.242766
209,Los Angeles,California,Brought Up in New York (Brought Down in L.A.),34.0536909,-118.242766
210,Los Angeles,California,Bumpin' on Sunset,34.0536909,-118.242766
211,Los Angeles,California,Bunker Hill,34.0536909,-118.242766
212,Los Angeles,California,Bunker Hill,34.0536909,-118.242766
213,Los Angeles,California,Bunker Hill,34.0536909,-118.242766
214,Los Angeles,California,The Burn,34.0536909,-118.242766
215,Los Angeles,California,Burn Hollywood Burn,34.0536909,-118.242766
216,Los Angeles,California,Burn Silver Lake Burn,34.0536909,-118.242766
217,Los Angeles,California,Burpin' Burbank,34.0536909,-118.242766
218,Los Angeles,California,Buzzsaw of Hollywood Hill,34.0536909,-118.242766
219,Los Angeles,California,BX Warrior,34.0536909,-118.242766
220,Los Angeles,California,By the Time I Get to Phoenix,34.0536909,-118.242766
221,Los Angeles,California,Cabin Fever,34.0536909,-118.242766
222,Los Angeles,California,Cafe L.A.,34.0536909,-118.242766
223,Los Angeles,California,Calabasas California 91302,34.0536909,-118.242766
224,Los Angeles,California,Califormula,34.0536909,-118.242766
225,Los Angeles,California,California,34.0536909,-118.242766
226,Los Angeles,California,California,34.0536909,-118.242766
227,Los Angeles,California,California,34.0536909,-118.242766
228,Los Angeles,California,California,34.0536909,-118.242766
229,Los Angeles,California,California,34.0536909,-118.242766
230,Los Angeles,California,California,34.0536909,-118.242766
231,Los Angeles,California,California,34.0536909,-118.242766
232,Los Angeles,California,California,34.0536909,-118.242766
233,Los Angeles,California,California,34.0536909,-118.242766
234,Los Angeles,California,California,34.0536909,-118.242766
235,Los Angeles,California,California,34.0536909,-118.242766
236,Los Angeles,California,California,34.0536909,-118.242766
237,Los Angeles,California,California,34.0536909,-118.242766
238,Los Angeles,California,California,34.0536909,-118.242766
239,Los Angeles,California,California,34.0536909,-118.242766
240,Los Angeles,California,California,34.0536909,-118.242766
241,Los Angeles,California,California Dreamin',34.0536909,-118.242766
242,Los Angeles,California,California Girls,34.0536909,-118.242766
243,Los Angeles,California,California Girls,34.0536909,-118.242766
244,Los Angeles,California,California Girls,34.0536909,-118.242766
245,Los Angeles,California,California Gurls,34.0536909,-118.242766
246,Los Angeles,California,"California, Hollywood",34.0536909,-118.242766
247,Los Angeles,California,California Heaven,34.0536909,-118.242766
248,Los Angeles,California,California Home,34.0536909,-118.242766
249,Los Angeles,California,California Jam,34.0536909,-118.242766
250,Los Angeles,California,California King Bed,34.0536909,-118.242766
251,Los Angeles,California,California Love,34.0536909,-118.242766
252,Los Angeles,California,California Paradise,34.0536909,-118.242766
253,Los Angeles,California,California Rain,34.0536909,-118.242766
254,Los Angeles,California,California Sex Lawyer,34.0536909,-118.242766
255,Los Angeles,California,California Stars,34.0536909,-118.242766
256,Los Angeles,California,California Style,34.0536909,-118.242766
257,Los Angeles,California,California Soul,34.0536909,-118.242766
258,Los Angeles,California,California Suite,34.0536909,-118.242766
259,Los Angeles,California,California Sun,34.0536909,-118.242766
260,Los Angeles,California,California Sun,34.0536909,-118.242766
261,Los Angeles,California,California Vacation,34.0536909,-118.242766
262,Los Angeles,California,Californication,34.0536909,-118.242766
263,Los Angeles,California,Calistan,34.0536909,-118.242766
264,Los Angeles,California,Camel Island,34.0536909,-118.242766
265,Los Angeles,California,Camera One,34.0536909,-118.242766
266,Los Angeles,California,Campo De Encino,34.0536909,-118.242766
267,Los Angeles,California,Candy,34.0536909,-118.242766
268,Los Angeles,California,Can't Stop the Blue (Go Dodgers Go!),34.0536909,-118.242766
269,Los Angeles,California,Can't You See,34.0536909,-118.242766
270,Los Angeles,California,Carmelita,34.0536909,-118.242766
271,Los Angeles,California,Carson City,34.0536909,-118.242766
272,Los Angeles,California,Carson Girls,34.0536909,-118.242766
273,Los Angeles,California,Catalina Island,34.0536909,-118.242766
274,Los Angeles,California,Catch My Disease,34.0536909,-118.242766
275,Los Angeles,California,Caught Up In Los Angeles,34.0536909,-118.242766
276,Los Angeles,California,Celebrity Skin,34.0536909,-118.242766
277,Los Angeles,California,Celluloid Heroes,34.0536909,-118.242766
278,Los Angeles,California,Cemetery,34.0536909,-118.242766
279,Los Angeles,California,Central Avenue Boogie,34.0536909,-118.242766
280,Los Angeles,California,Central Avenue Breakdown,34.0536909,-118.242766
281,Los Angeles,California,Central Avenue Confidential,34.0536909,-118.242766
282,Los Angeles,California,Central Avenue Cruise,34.0536909,-118.242766
283,Los Angeles,California,Central Avenue Drag,34.0536909,-118.242766
284,Los Angeles,California,Central Avenue Shuffle,34.0536909,-118.242766
285,Los Angeles,California,Central Rocks,34.0536909,-118.242766
286,Los Angeles,California,Century City,34.0536909,-118.242766
287,Los Angeles,California,Century City,34.0536909,-118.242766
288,Los Angeles,California,Century City,34.0536909,-118.242766
289,Los Angeles,California,Century City Chase Or J.B. In Teheran,34.0536909,-118.242766
290,Los Angeles,California,Century City Rag,34.0536909,-118.242766
291,Los Angeles,California,Champagne,34.0536909,-118.242766
292,Los Angeles,California,Chasing,34.0536909,-118.242766
293,Los Angeles,California,Chateau Marmont,34.0536909,-118.242766
294,Los Angeles,California,Chelsea,34.0536909,-118.242766
295,Los Angeles,California,Cherokee in Hollywood,34.0536909,-118.242766
296,Los Angeles,California,Chilling on the Westside,34.0536909,-118.242766
297,Los Angeles,California,Theme from 'Chinatown',34.0536909,-118.242766
298,Los Angeles,California,Christmas in Los Angeles,34.0536909,-118.242766
299,Los Angeles,California,Christmas in Hollywood,34.0536909,-118.242766
300,Los Angeles,California,Christmas In L.A.,34.0536909,-118.242766
301,Los Angeles,California,Christmas in Malibu,34.0536909,-118.242766
302,Los Angeles,California,Christmas in the City of the Angels,34.0536909,-118.242766
303,Los Angeles,California,Christmas Wrapping,34.0536909,-118.242766
304,Los Angeles,California,Christmastime in Tinsel Town,34.0536909,-118.242766
305,Los Angeles,California,Chumash,34.0536909,-118.242766
306,Los Angeles,California,Ciao L.A.,34.0536909,-118.242766
